Time	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0	0.200	0.193	0.197	0.194	0.192	0.198	0.190	0.199	0.190	0.197	0.193	0.211	0.192	0.194	0.188	0.184	0.201	0.196	0.207	0.191	0.193	0.196	0.205	0.197	0.205	0.191	0.192	0.189	0.194	0.205	0.205	0.197	0.192	0.206	0.204	0.202	0.196	0.214	0.199	0.198	0.203	0.199	0.202	0.202	0.201	0.204	0.208	0.196	0.198	0.206	0.199	0.197	0.211	0.204	0.215	0.209	0.198	0.213	0.209	0.203	0.207	0.203	0.192	0.194	0.197	0.200	0.201	0.209	0.196	0.203	0.207	0.204	0.212	0.200	0.202	0.200	0.203	0.199	0.208	0.203	0.194	0.203	0.206	0.191	0.190	0.190	0.203	0.191	0.195	0.191	0.196	0.200	0.200	0.197	0.195	0.204
1	0.215	0.209	0.218	0.215	0.209	0.223	0.205	0.222	0.206	0.232	0.213	0.228	0.208	0.210	0.205	0.200	0.211	0.211	0.220	0.206	0.206	0.208	0.220	0.213	0.222	0.204	0.205	0.202	0.208	0.218	0.218	0.214	0.205	0.222	0.217	0.216	0.211	0.234	0.217	0.222	0.225	0.221	0.217	0.225	0.222	0.219	0.230	0.213	0.217	0.218	0.214	0.221	0.230	0.222	0.237	0.229	0.220	0.229	0.226	0.220	0.222	0.217	0.211	0.208	0.212	0.213	0.210	0.225	0.208	0.220	0.221	0.219	0.227	0.214	0.213	0.209	0.220	0.210	0.219	0.216	0.207	0.215	0.219	0.206	0.209	0.206	0.219	0.205	0.210	0.201	0.204	0.211	0.216	0.215	0.212	0.222
2	0.246	0.238	0.254	0.246	0.240	0.260	0.232	0.261	0.236	0.269	0.248	0.262	0.237	0.237	0.230	0.227	0.233	0.238	0.246	0.232	0.231	0.234	0.249	0.243	0.247	0.230	0.229	0.224	0.233	0.241	0.240	0.242	0.228	0.249	0.242	0.245	0.241	0.262	0.248	0.259	0.256	0.254	0.243	0.258	0.252	0.245	0.261	0.243	0.248	0.241	0.239	0.254	0.260	0.251	0.267	0.258	0.242	0.259	0.255	0.251	0.249	0.242	0.237	0.231	0.240	0.237	0.231	0.253	0.232	0.250	0.248	0.249	0.256	0.241	0.238	0.233	0.250	0.235	0.245	0.241	0.231	0.248	0.253	0.236	0.243	0.252	0.248	0.256	0.239	0.229	0.228	0.240	0.243	0.247	0.246	0.262
3	0.303	0.294	0.313	0.306	0.295	0.319	0.284	0.319	0.290	0.329	0.309	0.320	0.289	0.289	0.279	0.276	0.279	0.286	0.295	0.281	0.280	0.284	0.303	0.297	0.297	0.279	0.277	0.266	0.278	0.285	0.283	0.287	0.270	0.295	0.294	0.296	0.292	0.310	0.294	0.304	0.300	0.302	0.290	0.300	0.302	0.293	0.314	0.296	0.301	0.286	0.286	0.305	0.306	0.302	0.313	0.305	0.290	0.313	0.308	0.306	0.300	0.291	0.284	0.274	0.286	0.280	0.274	0.298	0.277	0.303	0.301	0.302	0.310	0.298	0.293	0.282	0.306	0.290	0.301	0.297	0.290	0.311	0.318	0.289	0.300	0.292	0.300	0.282	0.292	0.277	0.277	0.289	0.293	0.301	0.304	0.312
4	0.400	0.389	0.410	0.401	0.385	0.415	0.367	0.415	0.381	0.424	0.414	0.422	0.381	0.369	0.356	0.360	0.358	0.367	0.368	0.361	0.362	0.364	0.394	0.383	0.375	0.350	0.345	0.334	0.346	0.352	0.350	0.349	0.336	0.361	0.369	0.377	0.380	0.386	0.371	0.370	0.359	0.366	0.361	0.360	0.368	0.368	0.393	0.383	0.395	0.358	0.363	0.379	0.371	0.374	0.379	0.375	0.363	0.395	0.398	0.400	0.385	0.372	0.358	0.345	0.354	0.351	0.342	0.365	0.351	0.382	0.382	0.388	0.403	0.388	0.379	0.363	0.386	0.367	0.383	0.372	0.368	0.397	0.410	0.376	0.401	0.383	0.388	0.362	0.383	0.363	0.361	0.375	0.385	0.400	0.416	0.420
5	0.527	0.512	0.547	0.533	0.508	0.554	0.486	0.545	0.500	0.546	0.540	0.541	0.514	0.489	0.472	0.493	0.481	0.491	0.487	0.481	0.481	0.481	0.509	0.500	0.492	0.460	0.449	0.439	0.450	0.457	0.451	0.449	0.436	0.471	0.477	0.490	0.504	0.513	0.505	0.499	0.474	0.491	0.485	0.463	0.488	0.489	0.518	0.502	0.540	0.474	0.493	0.507	0.488	0.506	0.500	0.503	0.491	0.530	0.528	0.522	0.512	0.499	0.478	0.464	0.472	0.479	0.455	0.480	0.469	0.504	0.495	0.508	0.530	0.521	0.515	0.490	0.514	0.498	0.518	0.500	0.497	0.524	0.537	0.499	0.532	0.504	0.510	0.480	0.513	0.492	0.488	0.504	0.521	0.530	0.553	0.554
6	0.617	0.611	0.639	0.632	0.609	0.648	0.588	0.632	0.594	0.630	0.621	0.617	0.606	0.591	0.576	0.600	0.587	0.598	0.593	0.584	0.584	0.581	0.602	0.594	0.597	0.562	0.554	0.541	0.552	0.560	0.554	0.557	0.535	0.570	0.577	0.588	0.608	0.619	0.621	0.615	0.589	0.620	0.598	0.579	0.603	0.597	0.615	0.601	0.637	0.579	0.602	0.625	0.604	0.623	0.608	0.612	0.603	0.633	0.621	0.607	0.616	0.606	0.588	0.576	0.581	0.596	0.566	0.586	0.578	0.604	0.593	0.604	0.628	0.627	0.622	0.600	0.619	0.612	0.630	0.614	0.609	0.622	0.632	0.593	0.626	0.606	0.613	0.586	0.619	0.600	0.593	0.608	0.618	0.622	0.634	0.628
7	0.656	0.640	0.671	0.662	0.640	0.677	0.622	0.659	0.622	0.653	0.652	0.652	0.644	0.624	0.617	0.642	0.629	0.637	0.637	0.627	0.624	0.619	0.630	0.625	0.632	0.612	0.612	0.599	0.614	0.620	0.619	0.620	0.600	0.619	0.618	0.619	0.646	0.661	0.662	0.659	0.655	0.673	0.651	0.640	0.663	0.645	0.649	0.636	0.679	0.630	0.649	0.673	0.657	0.676	0.657	0.658	0.653	0.672	0.656	0.638	0.656	0.649	0.642	0.635	0.645	0.655	0.631	0.646	0.628	0.648	0.633	0.640	0.658	0.661	0.665	0.646	0.661	0.655	0.676	0.666	0.657	0.662	0.663	0.627	0.665	0.640	0.647	0.625	0.655	0.646	0.633	0.652	0.653	0.654	0.674	0.674
8	0.693	0.671	0.701	0.692	0.668	0.712	0.651	0.690	0.652	0.682	0.683	0.687	0.682	0.649	0.640	0.671	0.659	0.664	0.660	0.654	0.651	0.646	0.658	0.658	0.661	0.633	0.628	0.617	0.632	0.636	0.636	0.634	0.617	0.635	0.637	0.646	0.676	0.686	0.703	0.685	0.674	0.702	0.677	0.654	0.684	0.669	0.674	0.664	0.715	0.654	0.678	0.697	0.680	0.702	0.679	0.690	0.680	0.699	0.682	0.671	0.687	0.674	0.667	0.659	0.664	0.682	0.652	0.665	0.653	0.673	0.660	0.670	0.689	0.690	0.693	0.671	0.684	0.681	0.703	0.691	0.680	0.684	0.690	0.661	0.700	0.670	0.676	0.657	0.689	0.675	0.664	0.679	0.687	0.685	0.705	0.712
9	0.719	0.696	0.725	0.718	0.696	0.739	0.677	0.713	0.678	0.713	0.708	0.711	0.710	0.675	0.665	0.696	0.682	0.690	0.685	0.677	0.675	0.671	0.681	0.684	0.684	0.656	0.651	0.642	0.655	0.660	0.658	0.655	0.639	0.658	0.660	0.671	0.702	0.711	0.728	0.709	0.698	0.732	0.699	0.676	0.708	0.696	0.698	0.689	0.741	0.678	0.702	0.724	0.706	0.725	0.703	0.716	0.705	0.725	0.707	0.695	0.712	0.699	0.689	0.683	0.687	0.703	0.674	0.689	0.674	0.695	0.682	0.695	0.715	0.716	0.715	0.696	0.709	0.704	0.724	0.714	0.703	0.711	0.717	0.687	0.727	0.696	0.701	0.683	0.715	0.700	0.688	0.705	0.712	0.711	0.728	0.737
