Time	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0	0.167	0.168	0.176	0.174	0.170	0.170	0.167	0.169	0.167	0.166	0.181	0.172	0.177	0.165	0.225	0.175	0.171	0.168	0.176	0.163	0.165	0.163	0.164	0.167	0.171	0.186	0.172	0.169	0.173	0.168	0.171	0.178	0.167	0.165	0.167	0.167	0.179	0.168	0.168	0.173	0.172	0.169	0.177	0.169	0.170	0.176	0.168	0.170	0.172	0.170	0.177	0.176	0.170	0.163	0.171	0.177	0.167	0.169	0.174	0.171	0.179	0.163	0.169	0.168	0.171	0.172	0.166	0.171	0.167	0.165	0.168	0.165	0.173	0.175	0.182	0.173	0.166	0.166	0.178	0.165	0.170	0.166	0.167	0.172	0.178	0.169	0.166	0.174	0.174	0.181	0.175	0.171	0.166	0.170	0.164	0.170
1	0.170	0.170	0.178	0.180	0.173	0.172	0.169	0.171	0.169	0.168	0.182	0.174	0.179	0.168	0.224	0.177	0.173	0.170	0.177	0.165	0.167	0.165	0.166	0.170	0.173	0.189	0.185	0.171	0.174	0.170	0.173	0.179	0.168	0.168	0.168	0.170	0.180	0.171	0.170	0.175	0.175	0.171	0.178	0.171	0.172	0.176	0.170	0.172	0.174	0.172	0.179	0.178	0.172	0.165	0.173	0.178	0.169	0.174	0.175	0.173	0.180	0.166	0.169	0.170	0.170	0.174	0.168	0.173	0.169	0.167	0.170	0.168	0.175	0.175	0.184	0.175	0.168	0.169	0.180	0.167	0.172	0.168	0.168	0.174	0.181	0.173	0.169	0.177	0.178	0.184	0.177	0.173	0.168	0.172	0.166	0.172
2	0.170	0.171	0.179	0.182	0.174	0.174	0.170	0.172	0.170	0.170	0.182	0.175	0.180	0.169	0.224	0.178	0.174	0.172	0.179	0.167	0.169	0.167	0.168	0.171	0.174	0.191	0.187	0.172	0.177	0.172	0.175	0.179	0.170	0.169	0.170	0.171	0.180	0.172	0.172	0.177	0.176	0.172	0.180	0.173	0.174	0.177	0.171	0.173	0.175	0.174	0.181	0.180	0.174	0.167	0.174	0.179	0.171	0.172	0.177	0.174	0.180	0.167	0.171	0.172	0.172	0.175	0.169	0.174	0.170	0.168	0.171	0.169	0.175	0.181	0.186	0.177	0.169	0.170	0.182	0.168	0.174	0.169	0.170	0.175	0.182	0.174	0.171	0.178	0.178	0.185	0.178	0.174	0.169	0.173	0.168	0.173
3	0.168	0.169	0.178	0.181	0.172	0.172	0.168	0.171	0.169	0.169	0.179	0.173	0.178	0.170	0.224	0.177	0.174	0.173	0.178	0.166	0.168	0.166	0.167	0.169	0.172	0.191	0.185	0.172	0.176	0.171	0.174	0.179	0.170	0.169	0.169	0.170	0.179	0.173	0.172	0.177	0.176	0.172	0.179	0.172	0.174	0.177	0.170	0.172	0.174	0.175	0.180	0.179	0.173	0.167	0.173	0.179	0.171	0.171	0.176	0.172	0.177	0.166	0.170	0.172	0.172	0.175	0.169	0.174	0.170	0.168	0.171	0.167	0.173	0.175	0.186	0.178	0.168	0.171	0.182	0.167	0.173	0.168	0.169	0.174	0.178	0.171	0.167	0.174	0.174	0.182	0.176	0.172	0.166	0.172	0.166	0.171
4	0.188	0.192	0.175	0.178	0.169	0.169	0.166	0.168	0.166	0.166	0.176	0.170	0.176	0.170	0.221	0.174	0.171	0.172	0.174	0.162	0.165	0.163	0.164	0.166	0.170	0.188	0.184	0.169	0.174	0.169	0.171	0.175	0.166	0.166	0.165	0.167	0.176	0.173	0.169	0.174	0.173	0.169	0.176	0.169	0.170	0.173	0.167	0.169	0.171	0.175	0.177	0.176	0.170	0.164	0.171	0.176	0.168	0.168	0.173	0.169	0.175	0.163	0.168	0.172	0.168	0.172	0.166	0.171	0.167	0.165	0.167	0.164	0.172	0.172	0.186	0.178	0.165	0.171	0.182	0.164	0.170	0.165	0.165	0.168	0.181	0.170	0.170	0.175	0.175	0.182	0.173	0.169	0.164	0.169	0.163	0.169
5	0.193	0.192	0.179	0.180	0.172	0.172	0.170	0.170	0.169	0.168	0.176	0.174	0.180	0.170	0.222	0.175	0.171	0.172	0.175	0.165	0.166	0.165	0.166	0.170	0.174	0.190	0.180	0.170	0.174	0.169	0.172	0.176	0.167	0.166	0.167	0.170	0.179	0.173	0.170	0.175	0.173	0.170	0.176	0.169	0.171	0.174	0.169	0.171	0.175	0.175	0.178	0.178	0.171	0.165	0.170	0.175	0.168	0.169	0.173	0.172	0.181	0.165	0.169	0.172	0.168	0.172	0.167	0.172	0.167	0.166	0.169	0.167	0.176	0.175	0.186	0.178	0.168	0.171	0.182	0.166	0.171	0.168	0.167	0.171	0.190	0.178	0.179	0.182	0.183	0.190	0.177	0.172	0.167	0.171	0.166	0.172
6	0.200	0.198	0.187	0.188	0.182	0.181	0.180	0.180	0.178	0.177	0.188	0.184	0.190	0.175	0.231	0.182	0.178	0.176	0.182	0.173	0.174	0.173	0.173	0.179	0.185	0.197	0.187	0.178	0.181	0.176	0.178	0.183	0.174	0.174	0.175	0.178	0.189	0.178	0.178	0.182	0.180	0.177	0.184	0.176	0.176	0.181	0.176	0.180	0.186	0.178	0.186	0.185	0.177	0.172	0.175	0.179	0.175	0.176	0.180	0.180	0.187	0.174	0.176	0.175	0.175	0.179	0.174	0.180	0.174	0.172	0.175	0.175	0.187	0.183	0.190	0.183	0.177	0.176	0.185	0.174	0.179	0.176	0.175	0.180	0.208	0.193	0.195	0.199	0.198	0.205	0.187	0.181	0.177	0.181	0.175	0.181
7	0.226	0.211	0.204	0.204	0.199	0.198	0.198	0.197	0.195	0.193	0.205	0.201	0.207	0.186	0.245	0.198	0.193	0.186	0.199	0.190	0.190	0.189	0.190	0.196	0.203	0.213	0.204	0.192	0.196	0.191	0.193	0.198	0.189	0.189	0.190	0.196	0.207	0.189	0.194	0.197	0.194	0.192	0.198	0.190	0.191	0.195	0.192	0.196	0.205	0.189	0.201	0.200	0.192	0.187	0.187	0.190	0.190	0.191	0.193	0.198	0.206	0.191	0.192	0.186	0.189	0.194	0.189	0.194	0.190	0.188	0.191	0.192	0.205	0.203	0.207	0.196	0.195	0.188	0.196	0.191	0.196	0.194	0.193	0.196	0.224	0.212	0.216	0.218	0.222	0.225	0.205	0.201	0.195	0.200	0.193	0.198
8	0.261	0.231	0.226	0.227	0.224	0.222	0.220	0.223	0.219	0.217	0.226	0.224	0.230	0.207	0.266	0.219	0.218	0.206	0.221	0.212	0.214	0.211	0.211	0.219	0.225	0.234	0.224	0.214	0.217	0.214	0.214	0.217	0.211	0.211	0.213	0.219	0.229	0.210	0.218	0.221	0.217	0.213	0.220	0.212	0.213	0.218	0.215	0.220	0.226	0.208	0.223	0.224	0.213	0.209	0.207	0.207	0.211	0.213	0.214	0.221	0.229	0.215	0.216	0.205	0.211	0.215	0.212	0.217	0.213	0.209	0.212	0.214	0.229	0.227	0.222	0.218	0.219	0.210	0.216	0.214	0.221	0.216	0.215	0.219	0.245	0.237	0.235	0.244	0.239	0.247	0.229	0.225	0.219	0.224	0.217	0.221
9	0.251	0.236	0.240	0.241	0.238	0.240	0.234	0.238	0.235	0.230	0.236	0.233	0.241	0.231	0.280	0.238	0.241	0.235	0.241	0.229	0.233	0.229	0.230	0.233	0.240	0.249	0.247	0.235	0.240	0.236	0.237	0.239	0.234	0.232	0.233	0.234	0.243	0.239	0.243	0.245	0.240	0.237	0.243	0.235	0.240	0.244	0.234	0.234	0.238	0.237	0.246	0.248	0.238	0.233	0.233	0.231	0.233	0.234	0.235	0.235	0.247	0.237	0.238	0.229	0.235	0.239	0.233	0.238	0.233	0.231	0.233	0.230	0.242	0.246	0.247	0.243	0.237	0.234	0.241	0.233	0.239	0.234	0.232	0.234	0.252	0.247	0.242	0.248	0.250	0.256	0.242	0.237	0.232	0.237	0.229	0.233
